事件日期,社會住宅,遞補類型,房型,戶別,事件類型,前次數值,本次數值,變動量,事件描述
2026-06-24,太平育賢一期,隨到隨辦,一房型,一般戶,已放棄人數變化,760,761,1,太平育賢一期／隨到隨辦／一房型／一般戶 已放棄人數增加 1 人
2026-06-24,太平育賢一期,隨到隨辦,一房型,一般戶,待遞補人數變化,1102,1112,10,太平育賢一期／隨到隨辦／一房型／一般戶 待遞補人數增加 10 人
2026-06-24,太平育賢一期,隨到隨辦,一房型,關懷戶,名冊總人數變化,1116,1118,2,太平育賢一期／隨到隨辦／一房型／關懷戶 名冊總人數增加 2 人
2026-06-24,太平育賢一期,隨到隨辦,一房型,關懷戶,已放棄人數變化,211,212,1,太平育賢一期／隨到隨辦／一房型／關懷戶 已放棄人數增加 1 人
2026-06-24,太平育賢一期,隨到隨辦,一房型,關懷戶,待遞補人數變化,465,466,1,太平育賢一期／隨到隨辦／一房型／關懷戶 待遞補人數增加 1 人
2026-06-24,太平育賢一期,隨到隨辦,三房型,關懷戶,名冊總人數變化,475,476,1,太平育賢一期／隨到隨辦／三房型／關懷戶 名冊總人數增加 1 人
2026-06-24,太平育賢一期,隨到隨辦,三房型,關懷戶,待遞補人數變化,129,130,1,太平育賢一期／隨到隨辦／三房型／關懷戶 待遞補人數增加 1 人
2026-06-24,太平育賢一期,隨到隨辦,二房型,一般戶,名冊總人數變化,1167,1169,2,太平育賢一期／隨到隨辦／二房型／一般戶 名冊總人數增加 2 人
2026-06-24,太平育賢一期,隨到隨辦,二房型,一般戶,待遞補人數變化,587,589,2,太平育賢一期／隨到隨辦／二房型／一般戶 待遞補人數增加 2 人
2026-06-24,太平育賢一期,隨到隨辦,二房型,關懷戶,名冊總人數變化,852,855,3,太平育賢一期／隨到隨辦／二房型／關懷戶 名冊總人數增加 3 人
2026-06-24,太平育賢一期,隨到隨辦,二房型,關懷戶,待遞補人數變化,463,466,3,太平育賢一期／隨到隨辦／二房型／關懷戶 待遞補人數增加 3 人
2026-06-24,太平育賢二期,隨到隨辦,一房型,一般戶,名冊總人數變化,2119,2122,3,太平育賢二期／隨到隨辦／一房型／一般戶 名冊總人數增加 3 人
2026-06-24,太平育賢二期,隨到隨辦,一房型,一般戶,已遞補人數變化,280,293,13,太平育賢二期／隨到隨辦／一房型／一般戶 已遞補人數增加 13 人
2026-06-24,太平育賢二期,隨到隨辦,一房型,一般戶,待遞補人數變化,1461,1451,-10,太平育賢二期／隨到隨辦／一房型／一般戶 待遞補人數減少 10 人
2026-06-24,太平育賢二期,隨到隨辦,一房型,關懷戶,已遞補人數變化,39,43,4,太平育賢二期／隨到隨辦／一房型／關懷戶 已遞補人數增加 4 人
2026-06-24,太平育賢二期,隨到隨辦,一房型,關懷戶,待遞補人數變化,586,582,-4,太平育賢二期／隨到隨辦／一房型／關懷戶 待遞補人數減少 4 人
2026-06-24,太平育賢二期,隨到隨辦,二房型,一般戶,已放棄人數變化,142,143,1,太平育賢二期／隨到隨辦／二房型／一般戶 已放棄人數增加 1 人
2026-06-24,太平育賢二期,隨到隨辦,二房型,一般戶,待遞補人數變化,745,744,-1,太平育賢二期／隨到隨辦／二房型／一般戶 待遞補人數減少 1 人
2026-06-24,太平育賢二期,隨到隨辦,二房型,關懷戶,名冊總人數變化,752,755,3,太平育賢二期／隨到隨辦／二房型／關懷戶 名冊總人數增加 3 人
2026-06-24,太平育賢二期,隨到隨辦,二房型,關懷戶,待遞補人數變化,636,639,3,太平育賢二期／隨到隨辦／二房型／關懷戶 待遞補人數增加 3 人
2026-06-24,太平長億,隨到隨辦,一房型,一般戶,名冊總人數變化,253,260,7,太平長億／隨到隨辦／一房型／一般戶 名冊總人數增加 7 人
2026-06-24,太平長億,隨到隨辦,一房型,一般戶,待遞補人數變化,235,242,7,太平長億／隨到隨辦／一房型／一般戶 待遞補人數增加 7 人
2026-06-24,太平長億,隨到隨辦,一房型,關懷戶,名冊總人數變化,112,114,2,太平長億／隨到隨辦／一房型／關懷戶 名冊總人數增加 2 人
2026-06-24,太平長億,隨到隨辦,一房型,關懷戶,待遞補人數變化,109,111,2,太平長億／隨到隨辦／一房型／關懷戶 待遞補人數增加 2 人
2026-06-24,太平長億,隨到隨辦,三房型,一般戶,名冊總人數變化,36,37,1,太平長億／隨到隨辦／三房型／一般戶 名冊總人數增加 1 人
2026-06-24,太平長億,隨到隨辦,三房型,一般戶,待遞補人數變化,32,33,1,太平長億／隨到隨辦／三房型／一般戶 待遞補人數增加 1 人
