抓取日期,社會住宅,遞補類型,房型,戶別,已遞補人數,已放棄人數,待遞補人數,名冊總人數,實際放棄率
2026-07-10,西屯國安一期,新案場招租,二房型,一般戶,41,0,250,291,0.0
2026-07-10,西屯國安一期,新案場招租,二房型,關懷戶,39,0,130,169,0.0
2026-09-15,西屯國安一期,隨到隨辦,一房型,一般戶,3,4,279,286,0.5714285714285714
2026-09-15,西屯國安一期,隨到隨辦,一房型,關懷戶,0,0,91,91,
2026-09-15,西屯國安一期,隨到隨辦,三房型,一般戶,0,1,26,27,1.0
2026-09-15,西屯國安一期,隨到隨辦,三房型,關懷戶,0,0,73,73,
2026-09-15,西屯國安一期,隨到隨辦,二房型,一般戶,0,0,114,114,
2026-09-15,西屯國安一期,隨到隨辦,二房型,關懷戶,0,1,95,96,1.0
2026-09-15,豐原安康一期,隨到隨辦,一房型,一般戶,559,299,395,1253,0.3484848484848485
2026-09-15,豐原安康一期,隨到隨辦,一房型,關懷戶,259,152,202,613,0.36982968369829683
2026-09-15,豐原安康一期,隨到隨辦,三房型,一般戶,59,46,97,202,0.4380952380952381
2026-09-15,豐原安康一期,隨到隨辦,三房型,關懷戶,82,72,242,397,0.4675324675324675
2026-09-15,豐原安康一期,隨到隨辦,二房型,一般戶,83,157,519,759,0.6541666666666667
2026-09-15,豐原安康一期,隨到隨辦,二房型,關懷戶,77,113,460,651,0.5947368421052631
